Script started on 2026-04-14 22:55:24+10:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="130" LINES="55"]
[?2004h]0;user@codeby-devops: ~[01;32muser@codeby-devops[00m:[01;34m~[00m$ ps aux
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.3  23740 14488 ?        Ss   Apr13   0:00 /sbin/init
root           2  0.0  0.0      0     0 ?        S    Apr13   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Apr13   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Apr13   0:00 [kworker/R-kvfree_rcu_reclaim]
root           5  0.0  0.0      0     0 ?        I<   Apr13   0:00 [kworker/R-rcu_gp]
root           6  0.0  0.0      0     0 ?        I<   Apr13   0:00 [kworker/R-sync_wq]
root           7  0.0  0.0      0     0 ?        I<   Apr13   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   Apr13   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   Apr13   0:00 [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I    Apr13   0:00 [kworker/u8:0-ipv6_addrconf]
root          13  0.0  0.0      0     0 ?        I<   Apr13   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    Apr13   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    Apr13   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    Apr13   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    Apr13   0:00 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    Apr13   0:23 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    Apr13   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          20  0.0  0.0      0     0 ?        S    Apr13   0:00 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    Apr13   0:00 [migration/0]
root          22  0.0  0.0      0     0 ?        S    Apr13   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    Apr13   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    Apr13   0:00 [cpuhp/1]
root          25  0.0  0.0      0     0 ?        S    Apr13   0:00 [idle_inject/1]
root          26  0.0  0.0      0     0 ?        S    Apr13   0:00 [migration/1]
root          27  0.0  0.0      0     0 ?        S    Apr13   0:00 [ksoftirqd/1]
root          34  0.0  0.0      0     0 ?        S    Apr13   0:00 [kdevtmpfs]
root          35  0.0  0.0      0     0 ?        I<   Apr13   0:00 [kworker/R-inet_frag_wq]
root          36  0.0  0.0      0     0 ?        S    Apr13   0:00 [kauditd]
root          37  0.0  0.0      0     0 ?        S    Apr13   0:00 [khungtaskd]
root          38  0.0  0.0      0     0 ?        S    Apr13   0:00 [oom_reaper]
root          39  0.0  0.0      0     0 ?        I    Apr13   0:00 [kworker/u9:1-ext4-rsv-conversion]
